expiry,fwd,strike,num,den,lv
18,6217.40416,1000.0,0.9557285913692182,0.9144714909000999,1.022309046432804
18,6217.40416,1500.0,0.9248222758450402,0.7772724963958175,1.0907933727307493
18,6217.40416,1750.0,0.8995196513174425,0.6901955623225019,1.1416138960022904
18,6217.40416,2000.0,0.8667257594137828,0.5955000086942869,1.2064239937356052
18,6217.40416,2250.0,0.8261482404066157,0.4980346689649697,1.287950592534647
18,6217.40416,2500.0,0.7778877991103088,0.4025063091651298,1.3901835134709752
18,6217.40416,2750.0,0.7224712792829409,0.3129038424481428,1.5195144884062797
18,6217.40416,3000.0,0.6608525283968146,0.2331448946219934,1.6836015739367438
18,6217.40416,3250.0,0.5943769852695491,0.16568281599718823,1.8940535728472645
18,6217.40416,3500.0,0.5247106291399782,0.11193052845547899,2.1651383565178244
18,6217.40416,3750.0,0.45373878910900545,0.07228061347916769,2.5054863375656033
18,6217.40416,4000.0,0.38344444522696547,0.04597638963093258,2.887910920887677
18,6217.40416,4073.53414261679,0.36318399343649405,0.04047851119562422,2.995374197930643
18,6217.40416,4250.0,0.3157784013872219,0.03190250260073965,3.1461457241059896
18,6217.40416,4458.43659940914,0.2626739414035536,0.027836123399459768,3.0718790974795627
18,6217.40416,4500.0,0.2525347370038506,0.028299141790054286,2.9872662347033
18,6217.40416,4750.0,0.1952441738460438,0.034327864357908786,2.3848751530612096
18,6217.40416,4867.82491419062,0.17066091406224282,0.040550534431263593,2.051486873826338
18,6217.40416,5000.0,0.14509553131330583,0.05087061922029429,1.6888594431408788
18,6217.40416,5044.94837908914,0.13690433317404616,0.0554437747435509,1.5713835481700118
18,6217.40416,5169.73480480676,0.11554222542902273,0.0708315277115247,1.2771945587077929
18,6217.40416,5250.0,0.10289157361635352,0.08347192734745768,1.1102471933778113
18,6217.40416,5269.82552185891,0.09989955212895188,0.0870845937073479,1.0710533541679848
18,6217.40416,5355.36703332249,0.08759648795482054,0.10536733248699437,0.9117806144679663
18,6217.40416,5431.30673454894,0.07750244384676287,0.12534774645999808,0.7863202014376139
18,6217.40416,5500.0,0.06904082071494438,0.14707047618448515,0.685157196064483
18,6217.40416,5500.46173877382,0.06898608328537974,0.14707328237832398,0.6848790027109336
18,6217.40416,5564.60570463794,0.06165964048872754,0.17498064446222217,0.5936158497538139
18,6217.40416,5624.93845792428,0.055273086660478615,0.2063055067723457,0.5176085586039374
18,6217.40416,5682.31754742399,0.04965189709113975,0.24181764916464046,0.45313115790254377
18,6217.40416,5737.38384120103,0.044668017341059914,0.28206164720626875,0.397947993362805
18,6217.40416,5750.0,0.04358213667099268,0.292274566213894,0.38615240750472546
18,6217.40416,5790.63481644401,0.040225026048469115,0.3298659304817284,0.34920418166679823
18,6217.40416,5842.46992084024,0.03625147777823452,0.38521582928194653,0.30676852286008244
18,6217.40416,5893.22008394769,0.0326918368627049,0.4482861975070595,0.2700486296658442
18,6217.40416,5943.16779536173,0.02950081639456555,0.5198460328253537,0.2382207843885444
18,6217.40416,5992.56136466032,0.026641003189530867,0.6003853453695843,0.21064940933744808
18,6217.40416,6000.0,0.02623517332622448,0.6133776726348672,0.2068130727406179
18,6217.40416,6041.6255090662,0.024083612751286714,0.702157732279685,0.18520106354024743
18,6217.40416,6090.5696092905,0.021818808060794743,0.8165129809101633,0.16346845732743978
18,6217.40416,6139.59451912922,0.019842914898013785,0.9367944684225771,0.14553939862605103
18,6217.40416,6217.40416,0.017311724229041172,1.115609243135824,0.12457018537079405
18,6217.40416,6227.573248152,0.017035642026879797,1.135477604578977,0.12248699111109952
18,6217.40416,6250.0,0.01647138899759498,1.1745760438391462,0.118419859772091
18,6217.40416,6276.7555783181,0.015878196172849454,1.2061333588841598,0.11473684854704416
18,6217.40416,6326.75977460206,0.01499783149791165,1.229156049555106,0.11046144585194693
18,6217.40416,6377.81157341871,0.014400222956057298,1.1964873376002338,0.10970604400558698
18,6217.40416,6430.16307548191,0.014104131028720832,1.1025263584950034,0.11310418545530337
18,6217.40416,6484.10231225606,0.014146726370419367,0.9524968865835656,0.12186982690731177
18,6217.40416,6500.0,0.014230105973285204,0.9011169457574051,0.1256647549741256
18,6217.40416,6539.96581146521,0.014586615568305428,0.7468469351490195,0.13975310543337208
18,6217.40416,6598.15568758732,0.015463979480652427,0.5477230600998831,0.16802740469184482
18,6217.40416,6659.16367397976,0.01680823353724973,0.38306404523231663,0.20947169238375754
18,6217.40416,6723.60608486499,0.01865438481650939,0.2555136860771441,0.27019877898296296
18,6217.40416,6750.0,0.01952276444916132,0.21422434104489915,0.30188132629826053
18,6217.40416,6792.27658668745,0.021033341483309896,0.17420347197838768,0.34747673584546124
18,6217.40416,6866.2292584211,0.024002595433702135,0.11896481126820965,0.4491794123002006
18,6217.40416,6946.91596896205,0.027652781880638896,0.07303305239847542,0.6153322649106965
18,6217.40416,7000.0,0.030237966514962623,0.0481188531149288,0.7927178856876247
18,6217.40416,7036.42782773404,0.03207444546622837,0.04241165507303081,0.8696349150453779
18,6217.40416,7137.95364466996,0.037393590125902834,0.029994531042567343,1.116548374340074
18,6217.40416,7250.0,0.04346434786294184,0.022801270445868632,1.380661011717055
18,6217.40416,7256.74453508812,0.04383185084692813,0.023542855262020577,1.3644742320240923
18,6217.40416,7402.45929657729,0.05171403338396692,0.044881442906234206,1.073422762175139
18,6217.40416,7500.0,0.056847287007973486,0.06521643509110961,0.9336333226573892
18,6217.40416,7596.29622814176,0.061723226274567694,0.09475510854079541,0.8070919071207626
18,6217.40416,7750.0,0.0690189232344369,0.14953253618445372,0.6793854476764031
